species,plot,abund,log_maxheight.exp,log_maxheight
Abrophyllum ornans,1,0.0949868073878628,0.903089986991944,0.903089986991944
Acacia boormanii,7,0.173228346456693,0.602059991327962,0.602059991327962
Acacia falciformis,14,0.00898203592814371,1,1
Acacia floribunda,4,0.117791411042945,0.903089986991944,0.903089986991944
Acacia floribunda,5,0.0858794384805946,0.903089986991944,0.903089986991944
Acacia floribunda,6,0.159255429162358,0.903089986991944,0.903089986991944
Acacia floribunda,12,0.0116768356827267,0.903089986991944,0.903089986991944
Acacia floribunda,13,0.0192307692307692,0.903089986991944,0.903089986991944
Acacia implexa,14,0.0276946107784431,1.07918124604762,1.07918124604762
Acacia leiocalyx subsp. leiocalyx,13,0.0384615384615385,0.778151250383644,0.778151250383644
Acacia mearnsii,6,0.0289555325749741,1,1
Acacia melanoxylon,3,0.0362796833773087,1.47712125471966,1.47712125471966
Acacia melanoxylon,7,0.015748031496063,1.47712125471966,1.47712125471966
Acacia melanoxylon,8,0.0904977375565611,1.47712125471966,1.47712125471966
Acacia pravissima,14,0.336826347305389,0.903089986991944,0.903089986991944
Acaena novae-zelandiae,8,0.0142210730446025,-0.522878745280338,-0.522878745280338
Acmena smithii,1,0.378627968337731,0.698970004336019,0.698970004336019
Acmena smithii,15,0.163454124903624,0.698970004336019,0.698970004336019
Adiantum aethiopicum,2,0.0410798122065728,-0.301029995663981,-0.301029995663981
Adiantum aethiopicum,3,0.0158311345646438,-0.301029995663981,-0.301029995663981
Adiantum aethiopicum,10,0.0149769585253456,-0.301029995663981,-0.301029995663981
Adiantum aethiopicum,15,0.0269853508095605,-0.301029995663981,-0.301029995663981
Adiantum hispidulum,1,0.0079155672823219,-0.154901959985743,-0.154901959985743
Alphitonia excelsa,13,0.107142857142857,1.39794000867204,1.39794000867204
Anagallis arvensis,3,0.0145118733509235,-0.522878745280338,-0.522878745280338
Angophora subvelutina,12,0.0368188512518409,1.30102999566398,1.30102999566398
Asplenium flabellifolium,4,0.0114519427402863,-0.698970004336019,-0.698970004336019
Astroloma humifusum,6,0.031023784901758,-0.301029995663981,-0.301029995663981
Austrostipa ramosissima,5,0.0165152766308836,0.397940008672038,0.397940008672038
Backhousia myrtifolia,5,0.189099917423617,1.47712125471966,1.47712125471966
Bedfordia arborescens,9,0.0345963756177924,0.698970004336019,0.698970004336019
Beyeria viscosa,7,0.0813648293963255,0.602059991327962,0.602059991327962
Bidens pilosa,11,0.00944669365721997,0,0
Bidens pilosa,12,0.0105196717862403,0,0
Bidens subalternans,11,0.0256410256410256,0.204119982655925,0.204119982655925
Blechnum nudum,2,0.0187793427230047,0,0
Blechnum nudum,3,0.0158311345646438,0,0
Blechnum nudum,8,0.175824175824176,0,0
Blechnum nudum,9,0.0205930807248764,0,0
Callistemon subulatus,6,0.0330920372285419,0,0
Calochlaena dubia,3,0.154353562005277,0.176091259055681,0.176091259055681
Calochlaena dubia,8,0.0568842921784098,0.176091259055681,0.176091259055681
Calochlaena dubia,9,0.0296540362438221,0.176091259055681,0.176091259055681
Calochlaena dubia,13,0.137362637362637,0.176091259055681,0.176091259055681
Carex appressa,7,0.031496062992126,0.0791812460476248,0.0791812460476248
Carex appressa,9,0.0115321252059308,0.0791812460476248,0.0791812460476248
Carex longebrachiata,1,0.0105540897097625,-0.0969100130080564,-0.0969100130080564
Carex longebrachiata,4,0.0392638036809816,-0.0969100130080564,-0.0969100130080564
Carex polyantha,2,0.176056338028169,-0.0969100130080564,-0.0969100130080564
Carex sp. (Mann),11,0.0175438596491228,-0.301029995663981,-0.301029995663981
Cassinia aculeata,9,0.0494233937397035,0.397940008672038,0.397940008672038
Cassinia aculeata,10,0.0345622119815668,0.397940008672038,0.397940008672038
Cassinia aculeata,14,0.0164670658682635,0.397940008672038,0.397940008672038
Cassinia trinerva,4,0.016359918200409,0.903089986991944,0.903089986991944
Casuarina cunninghamiana,4,0.294478527607362,1.54406804435028,1.54406804435028
Casuarina cunninghamiana,5,0.165152766308836,1.54406804435028,1.54406804435028
Casuarina cunninghamiana,6,0.316442605997932,1.54406804435028,1.54406804435028
Casuarina cunninghamiana,11,0.114709851551957,1.54406804435028,1.54406804435028
Casuarina cunninghamiana,12,0.0841573742899221,1.54406804435028,1.54406804435028
Casuarina glauca,13,0.0947802197802198,1.30102999566398,1.30102999566398
Centella asiatica,13,0.0155677655677656,-0.698970004336019,-0.698970004336019
Ceratopetalum apetalum,1,0.0765171503957784,1.39794000867204,1.39794000867204
Commelina cyanea,11,0.0404858299595142,-0.698970004336019,-0.698970004336019
Commelina cyanea,12,0.130443930149379,-0.698970004336019,-0.698970004336019
Commersonia fraseri,15,0.169622205088666,0.903089986991944,0.903089986991944
Conyza parva,12,0.0168314748579844,-0.301029995663981,-0.301029995663981
Coprosma quadrifida,2,0.0610328638497653,0.602059991327962,0.602059991327962
Coprosma quadrifida,3,0.0131926121372032,0.602059991327962,0.602059991327962
Coprosma quadrifida,8,0.0620555914673562,0.602059991327962,0.602059991327962
Coprosma quadrifida,9,0.0634266886326194,0.602059991327962,0.602059991327962
Coprosma quadrifida,10,0.132488479262673,0.602059991327962,0.602059991327962
Cryptandra spinescens,6,0.0217166494312306,0,0
Cryptocarya glaucescens,1,0.0448548812664908,1.54406804435028,1.54406804435028
Dichondra repens,4,0.0139059304703476,-0.698970004336019,-0.698970004336019
Dichondra repens,5,0.00990916597853014,-0.698970004336019,-0.698970004336019
Dichondra repens,13,0.0146520146520147,-0.698970004336019,-0.698970004336019
Dodonaea viscosa subsp. cuneata,14,0.0261976047904192,0.903089986991944,0.903089986991944
Doodia aspera,1,0.0633245382585752,-0.301029995663981,-0.301029995663981
Doodia aspera,2,0.167840375586854,-0.301029995663981,-0.301029995663981
Doodia aspera,4,0.0098159509202454,-0.301029995663981,-0.301029995663981
Doodia aspera,15,0.023130300693909,-0.301029995663981,-0.301029995663981
Doryphora sassafras,1,0.0646437994722955,1.54406804435028,1.54406804435028
Duboisia myoporoides,13,0.0398351648351648,1.30102999566398,1.30102999566398
Ehrharta erecta,7,0.031496062992126,-0.221848749616356,-0.221848749616356
Entolasia stricta,5,0.0115606936416185,-0.0969100130080564,-0.0969100130080564
Eucalyptus amplifolia,11,0.0674763832658569,1.47712125471966,1.47712125471966
Eucalyptus camphora subsp. humeana,8,0.245636716224952,1.30102999566398,1.30102999566398
Eucalyptus camphora subsp. humeana,9,0.0115321252059308,1.30102999566398,1.30102999566398
Eucalyptus camphora subsp. humeana,10,0.097926267281106,1.30102999566398,1.30102999566398
Eucalyptus cypellocarpa,4,0.065439672801636,1.69897000433602,1.69897000433602
Eucalyptus elata,5,0.0280759702725021,1.47712125471966,1.47712125471966
Eucalyptus radiata,8,0.0129282482223659,1.69897000433602,1.69897000433602
Eucalyptus radiata,9,0.122734761120264,1.69897000433602,1.69897000433602
Eucalyptus radiata,14,0.11377245508982,1.69897000433602,1.69897000433602
Eucalyptus resinifera,15,0.146491904394757,1.65321251377534,1.65321251377534
Eucalyptus rubida,7,0.553805774278215,1.60205999132796,1.60205999132796
Eucalyptus stellulata,10,0.178571428571429,1.17609125905568,1.17609125905568
Eucalyptus tereticornis,12,0.174626551651588,1.69897000433602,1.69897000433602
Eucalyptus tereticornis,15,0.215882806476484,1.69897000433602,1.69897000433602
Eucalyptus viminalis,3,0.191292875989446,1.47712125471966,1.47712125471966
Eucalyptus viminalis,9,0.028006589785832,1.47712125471966,1.47712125471966
Eucalyptus viminalis,14,0.26497005988024,1.47712125471966,1.47712125471966
Glochidion ferdinandi var. ferdinandi,15,0.0616808018504241,0.903089986991944,0.903089986991944
Grevillea robusta,13,0.00732600732600733,1.60205999132796,1.60205999132796
Guioa semiglauca,1,0.0079155672823219,0.778151250383644,0.778151250383644
Gymnostachys anceps,1,0.0079155672823219,0.176091259055681,0.176091259055681
Gymnostachys anceps,15,0.0185042405551272,0.176091259055681,0.176091259055681
Hovea asperifolia subsp. asperifolia,14,0.101047904191617,0.477121254719662,0.477121254719662
Imperata cylindrica,11,0.0229419703103914,0.0791812460476248,0.0791812460476248
Imperata cylindrica,12,0.0810014727540501,0.0791812460476248,0.0791812460476248
Imperata cylindrica,13,0.00961538461538462,0.0791812460476248,0.0791812460476248
Juncus continuus,11,0.0148448043184885,0.0791812460476248,0.0791812460476248
Lastreopsis decomposita,10,0.0149769585253456,-0.0457574905606751,-0.0457574905606751
Lepidosperma laterale,5,0.0297274979355904,0,0
Lepidosperma laterale,6,0.0237849017580145,0,0
Lepironia articulata,13,0.0105311355311355,0.301029995663981,0.301029995663981
Leptospermum brevipes,3,0.100923482849604,0.602059991327962,0.602059991327962
Leptospermum brevipes,6,0.285418821096174,0.602059991327962,0.602059991327962
Leptospermum brevipes,8,0.0782159017453135,0.602059991327962,0.602059991327962
Leptospermum brevipes,10,0.351382488479263,0.602059991327962,0.602059991327962
Leptospermum brevipes,14,0.062125748502994,0.602059991327962,0.602059991327962
Ligustrum sinense,12,0.0236692615190406,0.477121254719662,0.477121254719662
Ligustrum sinense,15,0.0840400925212028,0.477121254719662,0.477121254719662
Lomandra hystrix,12,0.07837155480749,0.113943352306837,0.113943352306837
Lomandra longifolia,1,0.0263852242744063,0,0
Lomandra longifolia,2,0.00704225352112676,0,0
Lomandra longifolia,3,0.0910290237467019,0,0
Lomandra longifolia,4,0.0425357873210634,0,0
Lomandra longifolia,5,0.0239471511147812,0,0
Lomandra longifolia,6,0.0682523267838676,0,0
Lomandra longifolia,7,0.078740157480315,0,0
Lomandra longifolia,11,0.117408906882591,0,0
Lomandra longifolia,13,0.0412087912087912,0,0
Lomandra longifolia,15,0.0732459521973786,0,0
Lomatia ilicifolia,9,0.0181219110378913,0.477121254719662,0.477121254719662
Lomatia myricoides,4,0.0155419222903885,0.698970004336019,0.698970004336019
Lomatia myricoides,9,0.0906095551894563,0.698970004336019,0.698970004336019
Lomatia myricoides,14,0.0419161676646707,0.698970004336019,0.698970004336019
Lophostemon suaveolens,13,0.143772893772894,1.34242268082221,1.34242268082221
Melaleuca quinquenervia,13,0.0512820512820513,1.17609125905568,1.17609125905568
Melicytus dentatus,4,0.100204498977505,0.602059991327962,0.602059991327962
Melicytus dentatus,6,0.0124095139607032,0.602059991327962,0.602059991327962
Melicytus dentatus,8,0.0252100840336134,0.602059991327962,0.602059991327962
Melicytus dentatus,12,0.0683778666105617,0.602059991327962,0.602059991327962
Microlaena stipoides,4,0.0605316973415133,-0.154901959985743,-0.154901959985743
Microlaena stipoides,5,0.247729149463254,-0.154901959985743,-0.154901959985743
Microlaena stipoides,6,0.0196483971044467,-0.154901959985743,-0.154901959985743
Microlaena stipoides,10,0.0115207373271889,-0.154901959985743,-0.154901959985743
Microlaena stipoides,11,0.418353576248313,-0.154901959985743,-0.154901959985743
Microlaena stipoides,12,0.0252472122869766,-0.154901959985743,-0.154901959985743
Notelaea longifolia,13,0.0164835164835165,0.954242509439325,0.954242509439325
Notelaea microcarpa var. microcarpa,11,0.0256410256410256,1,1
Notelaea microcarpa var. velutina,12,0.00736377025036819,1,1
Oplismenus aemulus,4,0.0916155419222904,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,11,0.0202429149797571,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,12,0.0126236061434883,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,13,0.0137362637362637,-0.522878745280338,-0.522878745280338
Oplismenus imbecillis,13,0.126373626373626,-0.522878745280338,-0.522878745280338
Pellaea falcata,4,0.0736196319018405,0.0413926851582251,0.0413926851582251
Pennisetum clandestinum,12,0.155691142436356,-0.0457574905606751,-0.0457574905606751
Pittosporum spinescens,1,0.0118733509234829,0.903089986991944,0.903089986991944
Platylobium formosum subsp. formosum,9,0.0115321252059308,0.397940008672038,0.397940008672038
Poa labillardierei var. labillardierei,8,0.0168067226890756,0.0791812460476248,0.0791812460476248
Poa labillardierei var. labillardierei,9,0.275123558484349,0.0791812460476248,0.0791812460476248
Poa meionectes,3,0.113456464379947,-0.154901959985743,-0.154901959985743
Poa meionectes,5,0.0173410404624277,-0.154901959985743,-0.154901959985743
Poa sieberiana,10,0.0334101382488479,0,0
Poa sieberiana,11,0.00742240215924427,0,0
Pomaderris aspera,3,0.16754617414248,0.602059991327962,0.602059991327962
Pomaderris aspera,7,0.0183727034120735,0.602059991327962,0.602059991327962
Pomaderris aspera,8,0.0478345184227537,0.602059991327962,0.602059991327962
Pomaderris aspera,9,0.0181219110378913,0.602059991327962,0.602059991327962
Pomaderris aspera,10,0.0483870967741936,0.602059991327962,0.602059991327962
Prostanthera lasianthos,9,0.057660626029654,0.778151250383644,0.778151250383644
Prunella vulgaris,8,0.00775694893341952,-0.397940008672038,-0.397940008672038
Pteridium esculentum,3,0.0857519788918206,0.176091259055681,0.176091259055681
Pteridium esculentum,4,0.0376278118609407,0.176091259055681,0.176091259055681
Pteridium esculentum,9,0.0774299835255354,0.176091259055681,0.176091259055681
Pteridium esculentum,10,0.01036866359447,0.176091259055681,0.176091259055681
Pteridium esculentum,12,0.0152535240900484,0.176091259055681,0.176091259055681
Pteridium esculentum,13,0.0155677655677656,0.176091259055681,0.176091259055681
Pultenaea juniperina,9,0.0584843492586491,0.477121254719662,0.477121254719662
Rubus fruticosus agg.,7,0.015748031496063,0.477121254719662,0.477121254719662
Rubus fruticosus agg.,8,0.122818358112476,0.477121254719662,0.477121254719662
Rubus fruticosus agg.,10,0.0714285714285714,0.477121254719662,0.477121254719662
Rubus parvifolius,8,0.00775694893341952,-0.221848749616356,-0.221848749616356
Rubus parvifolius,9,0.0115321252059308,-0.221848749616356,-0.221848749616356
Sida rhombifolia,11,0.0107962213225371,0,0
Sida rhombifolia,12,0.0126236061434883,0,0
Solanum americanum,12,0.0126236061434883,0.113943352306837,0.113943352306837
Solanum mauritianum,12,0.0284031138228487,0.602059991327962,0.602059991327962
Stellaria flaccida,4,0.0098159509202454,-0.698970004336019,-0.698970004336019
Stellaria flaccida,8,0.0355526826115061,-0.698970004336019,-0.698970004336019
Syzygium oleosum,13,0.0366300366300366,1.17609125905568,1.17609125905568
Tagetes minuta,11,0.0087719298245614,0.301029995663981,0.301029995663981
Tradescantia fluminensis,15,0.0169622205088666,-0.698970004336019,-0.698970004336019
Tree (Sportsmans 57),13,0.0549450549450549,1.47712125471966,1.47712125471966
Trema tomentosa var. aspera,13,0.00549450549450549,0.778151250383644,0.778151250383644
Tristaniopsis laurina,1,0.112137203166227,1.47712125471966,1.47712125471966
Tristaniopsis laurina,2,0.528169014084507,1.47712125471966,1.47712125471966
Tristaniopsis laurina,5,0.175061932287366,1.47712125471966,1.47712125471966
Urtica incisa,11,0.0418353576248313,0,0
Urtica incisa,12,0.0136755733221124,0,0
Viola hederacea,9,0.00988467874794069,-0.698970004336019,-0.698970004336019
Waterhousea floribunda,1,0.0923482849604222,1.47712125471966,1.47712125471966
Xanthium occidentale,11,0.0364372469635628,0.301029995663981,0.301029995663981
